<<<<<<< HEAD
brand_id,brand_name,product_name,product_id,price,category,subcategory,average_rating,amount_sold,total_recommended_count,total_repurchase_no_count,total_repurchase_yes_count,purchase_power,revenue
796,3ce,VELVET LIP TINT,97810,264000,Makeup, Lip Cream,4.576190476190476,42,42,2,30,medium,11088000
796,3ce,MINI MULTI EYE COLOR PALETTE,97833,423000,Makeup, Eyeshadow,4.883333333333334,6,12,0,11,medium,2538000
796,3ce,FACE BLUSH,97801,300000,Makeup, Blush,4.858823529411765,13,17,0,15,medium,3900000
796,3ce,BLUR WATER TINT,97817,264000,Makeup, Lip Tint,4.729629629629629,51,53,3,48,medium,13464000
796,3ce,CLOUD LIP TINT,97818,264000,Makeup, Lip Cream,4.768421052631579,17,19,0,19,medium,4488000
796,3ce,NEW TAKE EYESHADOW PALETTE,98428,880000,Makeup, Eyeshadow,5.0,1,5,0,5,high,880000
796,3ce,SUPER SLIM EYE BROW PENCIL,98369,212000,Makeup, Eyebrows,5.0,1,4,0,4,medium,212000
796,3ce,VELVET FIT FOUNDATION,98368,564000,Makeup, Foundation,5.0,1,2,0,2,high,564000
796,3ce,LIQUID PRIMER EYE SHADOW,98363,264000,Makeup, Eyeshadow,4.975,2,8,0,8,medium,528000
796,3ce,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,98429,581000,Makeup, Pressed Powder,5.0,3,4,0,4,high,1743000
796,3ce,SOFT MATTE LIPSTICK,98409,317000,Makeup, Lipstick,4.844444444444445,4,9,0,9,medium,1268000
796,3ce,EYE SWITCH,98312,264000,Makeup, Eyeshadow,5.0,2,6,0,6,medium,528000
796,3ce,SYRUP LAYERING TINT,98430,264000,Makeup, Lip Tint,4.876923076923077,5,12,1,12,medium,1320000
796,3ce,NEW TAKE FACE BLUSHER,98431,352000,Makeup, Blush,5.0,1,6,0,6,medium,352000
796,3ce,TATTOO LIP TINT,102642,229000,Makeup, Lip Tint,5.0,2,7,0,7,medium,458000
796,3ce,[ 3CE x TOILETPAPER]   VELVET LIP TINT,98435,317000,Makeup, Lip Tint,5.0,4,8,0,8,medium,1268000
796,3ce,[ 3CE x TOILETPAPER]   FACE BLUSH,98434,352000,Makeup, Blush,4.975,5,8,0,8,medium,1760000
796,3ce,[ 3CE x TOILETPAPER]   MULTI EYE COLOR PALETTE,98432,775000,Makeup, Eyeshadow,5.0,1,1,0,1,high,775000
796,3ce,SUPER SLIM PEN EYE LINER,98370,229000,Makeup, Eyeliner,4.971428571428572,4,7,0,7,medium,916000
751,abib,Heartleaf Essence Calming Pump,91887,380000,Skincare, Essence,4.775,8,8,0,6,medium,3040000
751,abib,Quick Sunstick Protection Bar,91207,400000,Skincare, Sunscreen,4.666666666666666,17,17,0,16,medium,6800000
751,abib,Yuja Essence Vitalizing Pump,91209,380000,Skincare, Essence,4.607142857142858,5,7,1,4,medium,1900000
751,abib,Heartleaf Sun Essence Calming Drop,91895,390000,Skincare, Essence,4.84375,6,8,0,8,medium,2340000
751,abib,Gummy Sheet Mask Milk Sticker,91194,56000,Skincare, Sheet Mask,4.916666666666667,5,6,0,6,low,280000
751,abib,Jericho Rose Creme Nutrition Tube,98624,490000,Skincare, Face Cream & Lotion,5.0,1,3,0,3,medium,490000
751,abib,Rebalancing Emulsion Skin Booster,91886,430000,Skincare, Face Cream & Lotion,4.875,2,4,0,3,medium,860000
751,abib,Heartleaf Facial Mist Calming Spray Set,106156,310000,Skincare, Toner,4.666666666666667,3,3,0,1,medium,930000
751,abib,Gummy Sheet Mask Heartleaf Sticker,91195,56000,Skincare, Sheet Mask,4.826923076923077,11,12,1,11,low,616000
751,abib,Mild Acidic pH sheet Mask Heartleaf Fit,91201,56000,Skincare, Sheet Mask,4.625,14,15,0,13,low,784000
751,abib,Acne Foam Cleanser Heartleaf Foam,91203,230000,Skincare, Face Wash,4.875,30,30,0,28,medium,6900000
751,abib,Rice Probiotics Overnight Mask Barrier Jelly,98614,390000,Skincare, Wash off Mask,5.0,1,3,0,3,medium,390000
751,abib,Jericho Rose Essence Nutrition Pump,98609,380000,Skincare, Essence,5.0,1,3,0,3,medium,380000
751,abib,Protective Lip Balm Block Stick,98611,160000,Skincare, Lip Balm,4.78125,6,7,1,7,medium,960000
751,abib,Pine Needle Pore Pad Clear Touch,91889,340000,Skincare, Toner,4.857142857142858,5,7,0,7,medium,1700000
751,abib,Mild Acidic pH Sheet Mask Yuja Fit,91199,56000,Skincare, Sheet Mask,4.791666666666666,4,6,0,6,low,224000
751,abib,Mild Acidic pH Sheet Mask Jericho Rose Fit  (single),98599,56000,Skincare, Sheet Mask,4.958333333333333,4,6,0,6,low,224000
751,abib,Calming Facial Soap Heartleaf Stone,98608,200000,Skincare, Cleansing Bar,5.0,1,3,0,3,medium,200000
751,abib,Yuja Probiotics Blemish Pad Vitalizing Touch,91893,360000,Skincare, Toner,4.583333333333333,2,2,0,2,medium,720000
730,acwell,Licorice pH Balancing Cleansing Toner,21291,165000,Skincare, Toner,4.635697764070933,1297,1224,85,990,medium,214005000
730,acwell,Real Aqua Balancing Cream,90792,340000,Skincare, Face Cream & Lotion,4.7142857142857135,26,28,0,23,medium,8840000
730,acwell,pH Balancing Bubble Free Cleansing Gel,90795,212000,Skincare, Cleansing Gel,4.573170731707317,39,36,7,27,medium,8268000
730,acwell,pH Balancing Soothing Cleansing Foam,90794,202000,Skincare, Face Wash,4.815789473684211,17,19,0,16,medium,3434000
730,acwell,Licorice pH Balancing Advance Serum,82363,220000,Skincare, Face Serum,4.577702702702703,145,133,20,101,medium,31900000
730,acwell,Licorice pH Balancing Essence Mist,63246,229000,Skincare, Essence,4.627840909090909,86,83,4,64,medium,19694000
730,acwell,Licorice pH Balancing Essential Cream,99997,320000,Skincare, Face Cream & Lotion,4.818181818181818,9,11,0,11,medium,2880000
730,acwell,Licorice pH Balancing Intensive Eye Cream,82362,289000,Skincare, Eye Cream,4.591346153846154,50,49,3,34,medium,14450000
730,acwell,Real Aqua Balancing Lotion,90791,290000,Skincare, Face Cream & Lotion,4.6764705882352935,15,17,0,13,medium,4350000
730,acwell,Real Aqua Balancing Ampoule,90793,300000,Skincare, Ampoule,4.931818181818182,9,11,0,10,medium,2700000
